WORD,MEANING
blast,"[MEANING 1]n.爆炸: an explosion or violent detonation
[MEANING 2]n. 一阵猛烈的强风: a violent gust of wind
[MEANING 3]n.巨响: a loud explosive sound
[MEANING 4]vt.炸裂，爆破: to cause to break open or into pieces by or as if by an explosive
[MEANING 5]vt.斥责，抨击: to criticize harshly and usually publicly"
blatant,"[MEANING 1]adj.大声喧哗的: noisy, especially in a vulgar or offensive manner
[MEANING 2]adj.(让人生厌地)惹人注目的: very noticeable especially for being incorrect or bad"
blazon,"[MEANING 1]vt.使知名: to make known openly or publicly
[MEANING 2]v.修饰，装扮: to make more attractive by adding something that is beautiful or becoming"
blemish,"[MEANING 1]n.缺点，污点: a noticeable imperfection
[MEANING 2]v.损害，降低: to reduce the soundness, effectiveness, or perfection of"
blight,"[MEANING 1]v.(使)枯萎: to affect (as a plant) with blight
[MEANING 2]v.损害: to impair the quality or effect of"
bliss,"[MEANING 1]n.极度快乐: extreme happiness; ecstasy
[MEANING 2]n.极乐世界: a dwelling place of perfect happiness for the soul after death"
blithe,"[MEANING 1]adj.愉快高兴的: of a happy lighthearted character or disposition
[MEANING 2]adj.无忧无虑的: having or showing freedom from worries or troubles"
blueprint,"[MEANING 1]n.蓝图，详细计划: a photographic print used especially for architects' plans
[MEANING 2]v.事先计划: to work out the details of (something) in advance"
blunder,"[MEANING 1]n.过失: a gross error or mistake resulting usually from stupidity, ignorance, or carelessness
[MEANING 2]v.在...方面犯了很愚蠢且通常很严重的错误；糟蹋: to make a stupid, usually serious error in; botch
[MEANING 3]v.蹒跚: to move unsteadily or confusedly"
blunt,"[MEANING 1]vt.使变钝: to make less sharp or definite
[MEANING 2]vt.减弱(力度等): to reduce or weaken in strength or feeling
[MEANING 3]adj.直率的: being or characterized by direct, brief, and potentially rude speech or manner"
blur,"[MEANING 1]v.(使)变得朦胧，(使)变得不清楚: to (cause sth to) become vague or indistinct
[MEANING 2]v.使不易理解: to make (something) unclear to the understanding"
blurt,[MEANING 1]vt.突然说出，冲动地说: to utter abruptly and impulsively
bluster,"[MEANING 1]v.狂妄自大地大声说: to speak in a loudly arrogant or bullying manner
[MEANING 2]n.大声吹嘘或恐吓: loudly boastful or threatening speech
[MEANING 3]n.喧闹的状态: a state of noisy, confused activity"
boggle,"[MEANING 1]v.因为怀疑、恐惧而犹豫: to hesitate because of doubt, fear, or scruples
[MEANING 2]v.笨拙地做: to make or do (something) in a clumsy or unskillful way"
boisterous,[MEANING 1]adj.喧嚷的，吵闹的: noisily turbulent
bolster,"[MEANING 1]n./v.支持: a structural part designed to eliminate friction or provide support or bearing
[MEANING 2]v.鼓励，使有精力: to give a boost to"
bombast,"[MEANING 1]n.夸大的言辞: grandiloquent, pompous speech or writing"
bonhomie,[MEANING 1]n.温和，和蔼: a pleasant and affable disposition; geniality
boo,"[MEANING 1]n./v.嘘(以表示不满或嘲笑): a sound uttered to show contempt, scorn, or disapproval"
boon,"[MEANING 1]n.恩惠，福利: benefit, favor
[MEANING 2]adj.喜欢集体行动的: likely to seek or enjoy the company of others"
boor,[MEANING 1]n.粗鲁的人，不敏感的人: a rude or insensitive person
bootless,"[MEANING 1]adj.无用的: useless, unprofitable, futile"
bound,"[MEANING 1]n.界限: a real or imaginary point beyond which a person or thing cannot go
[MEANING 2]vt.给...设置限制: to set limits or bounds to
[MEANING 3]adj.投入的，坚定的: fully committed to achieving a goal"
boycott,"[MEANING 1]vt.联合抵制，拒绝参与: to engage in a concerted refusal to have dealings with (as a person, store, or organization) usually to express disapproval or to force acceptance of certain conditions"
bracing,"[MEANING 1]adj.令人振奋的，给人带来活力的: giving strength, vigor, or freshness"
brake,[MEANING 1]v.刹车: to cause to move or proceed at a less rapid pace
brash,"[MEANING 1]adj.愚勇的，鲁莽的: foolishly adventurous or bold
[MEANING 2]adj.缺乏判断力的，不明智的: showing poor judgment especially in personal relationships or social situations"
brassy,"[MEANING 1]adj.厚脸皮的，不知羞耻的: displaying or marked by rude boldness
[MEANING 2]adj.华而不实地炫耀的: cheap and showy; flashy"
bravado,"[MEANING 1]n.假装勇敢: a pretense of bravery
[MEANING 2]n.虚张声势: blustering swaggering conduct"
bravura,[MEANING 1]adj./n优秀演技: brilliant technique or style in performance
brazen,"[MEANING 1]adj.蛮横大胆的，厚颜无耻的: marked by contemptuous boldness
[MEANING 2]v.大胆自信地去面对或从事: to face or undergo with bold self-assurance"
breach,"[MEANING 1]n.对伦理、法律准则的破坏: a breaking of a moral or legal code
[MEANING 2]v.违背: to fail to keep"
brevity,"[MEANING 1]n.简短，简洁: shortness of duration
[MEANING 2]n.精炼: the quality or state of being marked by or using only few words to convey much meaning"
bribe,"[MEANING 1]v.贿赂，收买: to give something, such as money or a favor, offered or given to a person in a position of trust to influence that person's views or conduct"
bridle,[MEANING 1]v.限制: to keep from exceeding a desirable degree or level (as of expression)
brisk,"[MEANING 1]adj.充满生机，有活力的: marked by much life, movement, or activity
[MEANING 2]adj.（言辞或方式）尖酸辛辣的，刻薄的: keen or sharp in speech or manner"
bristle,"[MEANING 1]v.怒不可遏，咆哮: to express one's anger usually violently
[MEANING 2]v.供应充足，充满: to be copiously supplied"
brittle,"[MEANING 1]adj.易碎的，脆弱的，易坏的: easily broken, cracked, or snapped
[MEANING 2]adj.不热心的，不真心的: lacking in friendliness or warmth of feeling"
broach,"[MEANING 1]v.开启，启封: to open for the first time
[MEANING 2]v.提出讨论: to present or bring forward for discussion"
bromide,[MEANING 1]n.陈词滥调: a commonplace or hackneyed statement or notion
brook,"[MEANING 1]v.忍受，容许: to stand for, tolerate
[MEANING 2]n.小溪流: a natural stream of water normally smaller than and often tributary to a river: creek"
browbeat,[MEANING 1]vt.恐吓: to intimidate by a stern manner or arrogant speech: bully
bruit,[MEANING 1]vt.(未经证实地)散播消息: to make (as a piece of information) the subject of common talk without any authority or confirmation of accuracy
buck,"[MEANING 1]v.阻止，ANTONYM对: to refuse assent, to refuse to give in to
[MEANING 2]v.转移，交接: to shift possession of (something) from one person to another"
budge,"[MEANING 1]vi.改变立场或态度: to alter a position or attitude
[MEANING 2]v.停止抵抗，屈服: to cease resistance (as to another's arguments, demands, or control)"
bulge,"[MEANING 1]n.凸起: a protuberant or swollen part or place
[MEANING 2]n.比赛中的优势地位: the more favorable condition or position in a competition
[MEANING 3]n.暴涨，突增，在数目或数量上突然而且是临时性的增加: a sudden, usually temporary increase in number or quantity
[MEANING 4]v.充满: to be copiously supplied"
bully,"[MEANING 1]n.欺凌弱小者: a person who habitually treats others in an overbearing or intimidating manner
[MEANING 2]adj.最好的，最棒的: of the very best kind"
bumptious,[MEANING 1]adj.专横傲慢的，自以为是的: having a feeling of superiority that shows itself in an overbearing attitude
bungle,[MEANING 1]vt.办糟，失败: to act or work clumsily and awkwardly
buoy,[MEANING 1]vt.使充满勇气和力量，使振作: to fill with courage or strength of purpose
buoyant,"[MEANING 1]adj.有浮力的: capable of floating
[MEANING 2]adj.心情好的: having or showing a good mood or disposition"
burgeon,[MEANING 1]v.迅速成长扩大，蓬勃发展: to grow and expand rapidly; flourish
burlesque,[MEANING 1]v.夸张滑稽地模仿以嘲弄他人的文学艺术作品，恶搞: to copy or exaggerate (someone or something) in order to make fun of
burnish,[MEANING 1]v.擦亮，磨光: to make smooth or glossy usually by repeatedly applying surface pressure
buttress,"[MEANING 1]n.扶墙: a projecting structure for supporting or giving stability to a wall or building
[MEANING 2]vt.提供支撑的证据或者信息: to provide evidence or information for (as a claim or idea)"
byzantine,"[MEANING 1]adj.错综复杂的: complicated or secretive, having many parts or aspects that are usually interrelated"
cache,"[MEANING 1]n.囤货，藏货: a supply stored up and often hidden away
[MEANING 2]v.隐藏: to put into a hiding place"
cachet,"[MEANING 1]n.[SYNONYMS]意: an indication of approval carrying great prestige
[MEANING 2]n.声望: prestige"
cacophony,"[MEANING 1]n.剌耳的声音: loud, confused, and usually inharmonious sound"
cadge,"[MEANING 1]v.乞讨，乞求: beg, sponge"
cajole,"[MEANING 1]v.哄骗: to urge with gentle and repeated appeals, teasing, or flattery; wheedle"
calcify,[MEANING 1]vt.使僵化: to make inflexible or unchangeable
calibrate,"[MEANING 1]vt.调整，标准化: to standardize (as a measuring instrument) by determining the deviation from a standard so as to ascertain the proper correction factors
[MEANING 2]vt.(根据标准)精确测量: to measure precisely especially: to measure against a standard"
calligraphy,"[MEANING 1]n.(优美的)书法: artistic, stylized, or elegant handwriting or lettering"
callous,[MEANING 1]adj.无[SYNONYMS]情心的，冷漠的: emotionally hardened; unfeeling
callow,[MEANING 1]adj.缺乏老练、不成熟的: lacking in adult experience or maturity
calumniate,"[MEANING 1]v.诽谤，造谣，中伤: to utter maliciously false statements, charges, or imputations about"
camaraderie,[MEANING 1]n.友情: a spirit of friendly good-fellowship
cameo,"[MEANING 1]n.栩栩如生的描绘: 一种简洁的、生动的描述或刻画: a brief, vivid portrayal or depiction
[MEANING 2]v.客串: to make a brief but dramatic appearance, as in a film"
camouflage,[MEANING 1]n.伪装: behavior or artifice designed to deceive or hide
canard,"[MEANING 1]n.谣传，误传: an unfounded or false, deliberately misleading story"
candor,"[MEANING 1]n.坦白，直率，诚挚: unreserved, honest, or sincere expression"
canon,"[MEANING 1]n.正教，标准: a basis for judgment; a standard or criterion
[MEANING 2]n.真经，真典: the authentic works of a writer"
canvass,"[MEANING 1]v.仔细检查或详尽地讨论；审查: to examine carefully or discuss thoroughly; scrutinize:
[MEANING 2]v.游说: 去(一个地区)的各处或找到(个人)来拉选票或定单: to go through (a region) or go to (persons) to solicit votes or orders"
capitulate,[MEANING 1]v.投降，默许: to give up all resistance; acquiesce; yield
caprice,"[MEANING 1]n. 一时冲动的决定: an impulsive change of mind
[MEANING 2]n.ANTONYM复无常，善变: an inclination to change one's mind impulsively"
captivate,"[MEANING 1]vt.吸引: to attract and hold by charm, beauty, or excellence"
careworn,[MEANING 1]adj.伤心焦虑的: showing the effect of grief or anxiety
cardinal,[MEANING 1]adj.主要的，非常重要的: of foremost importance; paramount
caricature,"[MEANING 1]n.用讽刺歪曲等手法的夸张，漫画，讽刺画: exaggeration by means of often ludicrous distortion of parts or characteristics
[MEANING 2]v.嘲笑性模仿或夸张: to copy or exaggerate (someone or something) in order to make fun of"
carnal,"[MEANING 1]adj.肉体的，物质的: relating to the physical
[MEANING 2]adj.世俗的: worldly"
carouse,[MEANING 1]vi.畅饮，狂饮作乐: to drink liquor freely or excessively
carp,"[MEANING 1]vi. 对小事吹毛求疵，挑剔: to make often peevish criticisms or objections about matters that are minor, unimportant, or irrelevant
[MEANING 2]v.没完没了地表现不满意: to express dissatisfaction, pain, or resentment usually tiresomely"
carve,"[MEANING 1]vi.雕刻: to create a three-dimensional representation of (something) using solid material
[MEANING 2]v.(通过长期不懈努力)产生或导致: to produce or bring about especially by long or repeated effort"
cast,"[MEANING 1]n.演员，演员阵容: a set of characters or persons
[MEANING 2]vt.选[DERIVATIVES](演员): to assign (as an actor) to a role or part
[MEANING 3]vt.提出: to put forth, give off, to place as if by throwing
[MEANING 4]v.抛弃: to get rid of as useless or unwanted"
castigate,"[MEANING 1]v.强烈(公开)指责: to criticize harshly and usually publicly
[MEANING 2]v.惩罚: to inflict a penalty on for a fault or crime"
catalyze,"[MEANING 1]vt.成为导火索，导致: to be the cause of (a situation, action, or state of mind)"
catastrophe,"[MEANING 1]n.大灾难: the final event of the dramatic action especially of a tragedy
[MEANING 2]n.彻底的失败: utter failure : fiasco"
